élections/NOUN,fédérales/ADJ,australiennes/ADJ
actuelle/ADJ,nation/NOUN,yéménite/ADJ
Anciens/ADJ,grands/ADJ,tournois/NOUN
Catégorie:Arme/NOUN,militaire/ADJ,allemande/ADJ
Parti/NOUN,communiste/ADJ,indonésien/ADJ
ancienne/ADJ,cité-État/NOUN,mésopotamienne/ADJ
homme/NOUN,politique/ADJ,britannique/ADJ
écriture/NOUN,orchestrale/ADJ,soignée/ADJ
opinion/NOUN,publique/ADJ,latine/ADJ
Site/NOUN,touristique/ADJ,officiel/ADJ
37351406Leucémie/NOUN,lymphoïde/ADJ,chronique/ADJ
Aire/NOUN,culturelle/ADJ,occidentale/ADJ
Stockage/NOUN,disque/ADJ,optique/ADJ
Premières/ADJ,grandes/ADJ,œuvres/NOUN
République/NOUN,démocratique/ADJ,hongroise/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
homme/NOUN,politique/ADJ,français/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
armée/NOUN,allemande/ADJ,bénéficie/ADJ
utilisateur/NOUN,graphique/ADJ,moderne/ADJ
Syndicats/NOUN,salariés/ADJ,internationaux/ADJ
turcs/ADJ,d’origine/NOUN,sicilienne/ADJ
homme/NOUN,politique/ADJ,américain/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
grands/ADJ,évènements/NOUN,sportifs/ADJ
important/ADJ,port/NOUN,céréalier/ADJ
Autre/ADJ,chronologie/NOUN,thématique/ADJ
Catégorie/NOUN,:Algèbre/ADJ,générale/ADJ
armée/NOUN,fédérale/ADJ,argentine/ADJ
Catégorie:Bibliothèque/NOUN,logicielle/ADJ,graphique/ADJ
ville/NOUN,insulaire/ADJ,imaginaire/ADJ
frère/NOUN,jésuite/ADJ,espagnol/ADJ
École/NOUN,normale/ADJ,supérieure/ADJ
Grand/ADJ,prix/NOUN,technique/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
élections/NOUN,législatives/ADJ,japonaises/ADJ
Personnalité/NOUN,politique/ADJ,japonaise/ADJ
peintre/NOUN,baroque/ADJ,allemand/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
Pacte/NOUN,budgétaire/ADJ,européen/ADJ
Virus/NOUN,informatiques/ADJ,célèbres/ADJ
élection/NOUN,présidentielle/ADJ,sud-coréenne/ADJ
ancien/ADJ,royaume/NOUN,coréen/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
qu’en/ADJ,agriculture/NOUN,conventionnelle/ADJ
coureur/NOUN,cycliste/ADJ,britannique/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
épithètesLes/ADJ,prêtres/NOUN,égyptiens/ADJ
théologien/NOUN,luthérien/ADJ,allemand/ADJ
103A0103FFVieux/ADJ,persevoir/NOUN,Vieux/ADJ
Cimetière/NOUN,militaire/ADJ,allemand/ADJ
Caractère/NOUN,graphique/ADJ,visible/ADJ
Troisième/ADJ,guerre/NOUN,indo-pakistanaise/ADJ
Guerre/NOUN,civile/ADJ,colombienne/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
écrivain/NOUN,régionaliste/ADJ,français/ADJ
Salaire/ADJ,minimum/NOUN,interprofessionnel/ADJ
prêtre/NOUN,jésuite/ADJ,belge/ADJ
riche/ADJ,négociant/NOUN,strasbourgeois/ADJ
Nouvelle/ADJ,Imprimerie/NOUN,Coopérative/ADJ
humaineLe/ADJ,comportement/NOUN,érotique/ADJ
homme/NOUN,politique/ADJ,français/ADJ
coureur/NOUN,cycliste/ADJ,néerlandais/ADJ
Ancien/ADJ,site/NOUN,officiel/ADJ
eau/NOUN,liquide/ADJ,jusqu’au/ADJ
théologien/NOUN,protestant/ADJ,allemand/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
Église/NOUN,orthodoxe/ADJ,roumaine/ADJ
ancienne/ADJ,église/NOUN,tréviale/ADJ
Politique/NOUN,coloniale/ADJ,britannique/ADJ
Catégorie:Œuvre/NOUN,poétique/ADJ,médiévale/ADJ
Molécules/NOUN,isocyanates/ADJ,monofonctionnelles/ADJ
Côte/NOUN,atlantique/ADJ,française/ADJ
peintre/NOUN,néoclassique/ADJ,français/ADJ
moine/NOUN,théologien/ADJ,allemand/ADJ
comtesse/NOUN,d’origine/ADJ,tchèque/ADJ
organisation/NOUN,judiciaire/ADJ,ivoirienne/ADJ
Écoles/NOUN,maternelles/ADJ,publiques/ADJ
homme/NOUN,politique/ADJ,français/ADJ
énormes/ADJ,contraintes/NOUN,logistiques/ADJ
L’insurrection/NOUN,nobiliaire/ADJ,hongroise/ADJ
Meilleure/NOUN,nouvelle/ADJ,longue/ADJ
Écoles/NOUN,élémentaires/ADJ,publiques/ADJ
coureur/NOUN,cycliste/ADJ,allemand/ADJ
revue/NOUN,littéraire/ADJ,mensuelle/ADJ
coureur/NOUN,cycliste/ADJ,suisse/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
élections/NOUN,législatives/ADJ,danoises/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
coureur/NOUN,cycliste/ADJ,américain/ADJ
importante/ADJ,gare/NOUN,routière/ADJ
::solde/NOUN,migratoire/ADJ,négatif/ADJ
culte/NOUN,protestant/ADJ,évangélique/ADJ
pilote/NOUN,automobile/ADJ,néerlandais/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
espoir/NOUN,démocratique/ADJ,allemand/ADJ
pensée/NOUN,multiculturaliste/ADJ,facile/ADJ
résonance/NOUN,magnétique/ADJ,nucléaire/ADJ
adjectif/NOUN,numéral/ADJ,ordinal/ADJ
randomized/NOUN,controlled/ADJ,trial/ADJ
Assemblée/NOUN,nationale/ADJ,grecque/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
République/NOUN,démocratique/ADJ,allemande/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
Catégorie/NOUN,:Additif/ADJ,alimentaire/ADJ
filtre/NOUN,courriel/ADJ,anti-spam/ADJ
Littérature/NOUN,celtique/ADJ,galloise/ADJ
femme/NOUN,politique/ADJ,française/ADJ
Radio/NOUN,locale/ADJ,indépendante/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
homme/NOUN,politique/ADJ,irlandais/ADJ
Barrière/NOUN,frontalière/ADJ,hongroise/ADJ
unique/ADJ,monnaie/NOUN,royale/ADJ
adjectif/NOUN,numéral/ADJ,ordinal/ADJ
Géométrie/NOUN,analytique/ADJ,classique/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
Nouveaux/ADJ,dynamismes/NOUN,sociaux/ADJ
Union/NOUN,progressiste/ADJ,sénégalaise/ADJ
Catégorie:Littérature/NOUN,grecque/ADJ,hellénistique/ADJ
côté/NOUN,quais.Mutr/ADJ,écy/ADJ
groupe/NOUN,roman/ADJ,oriental/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
Couleurs/NOUN,primaires/ADJ,instrumentales/ADJ
Collectif/ADJ,Jeudi/NOUN,noir/ADJ
première/ADJ,bienheureuse/NOUN,australienne/ADJ
État/NOUN,national/ADJ,légionnaire/ADJ
Pouvoir/NOUN,exécutif/ADJ,suprême/ADJ
premier/ADJ,lycée/NOUN,impérial/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
coureur/NOUN,cycliste/ADJ,belge/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
Procédure/NOUN,pénale/ADJ,relative/ADJ
médecin/NOUN,juif/ADJ,sépharade/ADJ
homme/NOUN,politique/ADJ,français/ADJ
Hommes/NOUN,politiques/ADJ,actuels/ADJ
ancienne/ADJ,République/NOUN,espagnole/ADJ
Union/NOUN,astronomique/ADJ,internationale/ADJ
radio/NOUN,associative/ADJ,jeune/ADJ
Nouvelle/ADJ,biographie/NOUN,générale/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
erreurs/NOUN,résiduelles/ADJ,d’apprentissage/ADJ
peintre/NOUN,baroque/ADJ,espagnol/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
cartographe/NOUN,juif/ADJ,majorquin/ADJ
poissons/NOUN,géants/ADJ,semblables/ADJ
Administration/NOUN,civile/ADJ,ancienne/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
première/ADJ,église/NOUN,paroissiale/ADJ
Principaux/ADJ,quartiers/NOUN,ethniques/ADJ
évènement/NOUN,sportif/ADJ,marquant/ADJ
logiciel/NOUN,commercial/ADJ,tournant/ADJ
divinae/ADJ,sapientiae/NOUN,consilium/ADJ
Empire/NOUN,russe/ADJ,telle/ADJ
homme/NOUN,politique/ADJ,florentin/ADJ
Système/NOUN,éducatif/ADJ,belge/ADJ
Poésie/NOUN,gallaise/ADJ,contemporaine/ADJ
autres/ADJ,arts/NOUN,contemporains/ADJ
homme/NOUN,politique/ADJ,français/ADJ
Autorité/NOUN,bancaire/ADJ,européenne/ADJ
élections/NOUN,législatives/ADJ,indiennes/ADJ
Principaux/ADJ,travaux/NOUN,égyptologiques/ADJ
coureur/NOUN,cycliste/ADJ,américain/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
collectivités/NOUN,agricoles/ADJ,libres/ADJ
Unités/NOUN,monétaires/ADJ,nouvelles/ADJ
état/NOUN,africain/ADJ,précolonial/ADJ
première/ADJ,constitution/NOUN,espagnole/ADJ
Nouvelle/ADJ,biographie/NOUN,universelle/ADJ
faible/ADJ,gradient/NOUN,thermique/ADJ
extrême/ADJ,sud/NOUN,algérien/ADJ
dernier/ADJ,vestige/NOUN,occidental/ADJ
Parti/NOUN,communiste/ADJ,français/ADJ
eau/NOUN,douce/ADJ,riche/ADJ
Organisme/NOUN,scout/ADJ,international/ADJ
interface/NOUN,graphique/ADJ,moderne/ADJ
dette/NOUN,extérieure/ADJ,brute/ADJ
climat/NOUN,subtropical/ADJ,humide/ADJ
Ancien/ADJ,souverainiste/NOUN,québécois/ADJ
peintre/NOUN,paysagiste/ADJ,français/ADJ
Service/NOUN,public/ADJ,fédéral/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
Tradition/NOUN,présidentielle/ADJ,démocrate/ADJ
vieille/ADJ,ville/NOUN,espagnole/ADJ
TV/NOUN,gratuit/ADJ,bihebdomadaire/ADJ
Fuseaux/ADJ,horaires/NOUN,usuels/ADJ
Croyance/NOUN,égyptienne/ADJ,nationale/ADJ
Station/NOUN,balnéaire/ADJ,française/ADJ
Ancienne/ADJ,situation/NOUN,administrative/ADJ
commentateur/NOUN,sportif/ADJ,américain/ADJ
Histoire/NOUN,économique/ADJ,contemporaine/ADJ
Crise/NOUN,économique/ADJ,asiatique/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
Assemblée/NOUN,constituante/ADJ,française/ADJ
Traductions/NOUN,françaises/ADJ,intégrales/ADJ
jeune/ADJ,homme/NOUN,fort/ADJ
bon/ADJ,estre/NOUN,entendant/ADJ
peintre/NOUN,impressionniste/ADJ,français/ADJ
coureur/NOUN,cycliste/ADJ,américain/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
Premier/ADJ,Ministre/NOUN,Anglais/ADJ
Arts/NOUN,martiaux/ADJ,japonais/ADJ
messagerie/NOUN,instantanée/ADJ,multiprotocole/ADJ
Pistes/NOUN,historiques/ADJ,nationales/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
coureur/NOUN,cycliste/ADJ,belge/ADJ
année/NOUN,tropique/ADJ,conventionnelle/ADJ
Marché/NOUN,immobilier/ADJ,français/ADJ
voyageur/NOUN,valencien/ADJ,musulman/ADJ
Fameuse/ADJ,potion/NOUN,magique/ADJ
Parti/NOUN,politique/ADJ,français/ADJ
principal/ADJ,organe/NOUN,rythmique/ADJ
Église/NOUN,catholique/ADJ,romaine/ADJ
Sources/NOUN,modernes/ADJ,francophones/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
Communauté/NOUN,autonome/ADJ,basque/ADJ
Catégorie:Langue/NOUN,auxiliaire/ADJ,internationale/ADJ
importante/ADJ,minorité/NOUN,juive/ADJ
station/NOUN,spatiale/ADJ,russe/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
Droit/NOUN,civil/ADJ,belge/ADJ
coureur/NOUN,cycliste/ADJ,allemand/ADJ
Code/NOUN,officiel/ADJ,géographique/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
autres/ADJ,évolutions/NOUN,graphiques/ADJ
Catégorie:Littérature/NOUN,grecque/ADJ,classique/ADJ
Régions/NOUN,administratives/ADJ,françaises/ADJ
deuxième/ADJ,Guerre/NOUN,anglo-néerlandaise/ADJ
parti/NOUN,indépendantiste/ADJ,canarien/ADJ
Radio/NOUN,locale/ADJ,chrétienne/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
Sections/NOUN,sportives/ADJ,scolaires/ADJ
infrastructures/NOUN,logistiques/ADJ,adéquates/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
meilleur/ADJ,montage/NOUN,sonore/ADJ
ensemble/NOUN,hospitalier/ADJ,médiéval/ADJ
Division/NOUN,administrative/ADJ,territoriale/ADJ
accroissement/NOUN,naturel/ADJ,amène/ADJ
fricative/ADJ,bilabiale/NOUN,sonore/ADJ
back/ADJ,dos/NOUN,ouvert/ADJ
autres/ADJ,historiennes/NOUN,féministes/ADJ
cornes/ADJ,contres/NOUN,cornes/ADJ
Principaux/ADJ,partenaires/NOUN,économiques/ADJ
pontificale/ADJ,Histoire/NOUN,ecclésiastique/ADJ
Jeux/NOUN,équestres/ADJ,mondiaux/ADJ
Meilleure/NOUN,nouvelle/ADJ,courte/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
Produits/NOUN,chimiques/ADJ,inorganiques/ADJ
assemblée/NOUN,nationale/ADJ,turque/ADJ
théologien/NOUN,protestant/ADJ,français/ADJ
Bonheur/NOUN,national/ADJ,brut/ADJ
Fonction/NOUN,originelle/ADJ,agricole/ADJ
troisième/ADJ,équipe/NOUN,africaine/ADJ
ancien/ADJ,département/NOUN,français/ADJ
premier/ADJ,conseiller/NOUN,socialiste/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
élections/NOUN,législatives/ADJ,roumaines/ADJ
shōnen/ADJ,d’arts/NOUN,martiaux/ADJ
homme/NOUN,politique/ADJ,français/ADJ
Meilleure/NOUN,nouvelle/ADJ,longue/ADJ
Élection/NOUN,présidentielle/ADJ,américaine/ADJ
coureur/NOUN,cycliste/ADJ,autrichien/ADJ
homme/NOUN,politique/ADJ,afghan/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
aile/NOUN,gauche/ADJ,travailliste/ADJ
grande/ADJ,révolte/NOUN,arabe/ADJ
jurisconsulte/NOUN,italienDate/ADJ,approximative/ADJ
spelling/ADJ,correction/NOUN,algorithm/ADJ
premier/ADJ,évêque/NOUN,polonais/ADJ
peintre/NOUN,impressionniste/ADJ,américain/ADJ
police/NOUN,secrète/ADJ,soviétique/ADJ
Station/NOUN,balnéaire/ADJ,française/ADJ
suédoise/ADJ,Education/NOUN,First/ADJ
Utilisations/NOUN,industrielles/ADJ,importantes/ADJ
site/NOUN,patrimonial/ADJ,national/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
peintre/NOUN,expressionniste/ADJ,allemand/ADJ
homme/NOUN,politique/ADJ,français/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
Grandes/ADJ,entreprises/NOUN,industrielles/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
Communauté/NOUN,économique/ADJ,européenne/ADJ
Églises/NOUN,traditionnelles/ADJ,noires/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
lettre/NOUN,capitale/ADJ,grasse/ADJ
Service/NOUN,public/ADJ,hospitalier/ADJ
Mouvements/NOUN,culturels/ADJ,initiateurs/ADJ
code/NOUN,morse/ADJ,américain/ADJ
Empreinte/NOUN,écologique/ADJ,disponible/ADJ
Systèmes/NOUN,mixtes/ADJ,conditionnels/ADJ
peintre/NOUN,baroque/ADJ,espagnol/ADJ
Rencontres/NOUN,philosophiques/ADJ,colloque/ADJ
homme/NOUN,politique/ADJ,indien/ADJ
research/ADJ,enhance/ADJ,conservation/NOUN
Catégorie:Littérature/NOUN,grecque/ADJ,classique/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
Grand/ADJ,Site/NOUN,national/ADJ
Contrainte/NOUN,artistique/ADJ,volontaire/ADJ
divinité/NOUN,ancestrale/ADJ,gilbertine/ADJ
Saint-Empire/NOUN,romain/ADJ,germanique/ADJ
homme/NOUN,politique/ADJ,français/ADJ
Principaux/ADJ,établissements/NOUN,culturels/ADJ
élections/NOUN,législatives/ADJ,danoises/ADJ
highest/ADJ,pay/NOUN,fortune/ADJ
Nouvelle/ADJ,biographie/NOUN,générale/ADJ
théologien/NOUN,luthérien/ADJ,allemand/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
République/NOUN,arabe/ADJ,syrienne/ADJ
Catégorie:Film/NOUN,dramatique/ADJ,japonais/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
nouveau/ADJ,code/NOUN,électoral/ADJ
maître/NOUN,voilier/ADJ,accastilleur/ADJ
autres/ADJ,langues/NOUN,germaniques/ADJ
Église/NOUN,catholique/ADJ,romaine/ADJ
mobilisation/NOUN,partielle/ADJ,tchécoslovaque/ADJ
peintre/NOUN,maniériste/ADJ,italien/ADJ
ancienne/ADJ,gare/NOUN,ferroviaire/ADJ
ancienne/ADJ,possession/NOUN,luxembourgeoise/ADJ
éminent/ADJ,amiral/NOUN,français/ADJ
élections/NOUN,législatives/ADJ,roumaines/ADJ
Stockage/NOUN,disque/ADJ,optique/ADJ
Coupes/ADJ,inter-clubs/NOUN,soviétiques/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
Nouvelle/ADJ,biographie/NOUN,générale/ADJ
homme/NOUN,politique/ADJ,danois/ADJ
coureur/NOUN,cycliste/ADJ,suédois/ADJ
autres/ADJ,distances/NOUN,compatibles/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
Ligue/NOUN,islamique/ADJ,mondiale/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
poète/NOUN,métaphysique/ADJ,anglais/ADJ
Mécanique/NOUN,quantique/ADJ,relativiste/ADJ
Meilleurs/ADJ,effets/NOUN,spéciaux/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
mouvement/NOUN,séparatiste/ADJ,anglo-irlandais/ADJ
ancien/ADJ,Premier/ADJ,Ministre/NOUN
jam/NOUN,illustrabit/ADJ,omnia/ADJ
meilleur/ADJ,espoir/NOUN,féminin/ADJ
homme/NOUN,politique/ADJ,français/ADJ
Tests/NOUN,Génétiques/ADJ,non-invasifs/ADJ
Grands/ADJ,projets/NOUN,urbains/ADJ
coureur/NOUN,cycliste/ADJ,belge/ADJ
Soupe/NOUN,paysanne/ADJ,végétalienne/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
Principaux/ADJ,partenaires/NOUN,commerciaux/ADJ
groupe/NOUN,électro/ADJ,réunionnais/ADJ
binaireCommission/NOUN,électrotechnique/ADJ,internationale/ADJ
Mandats/NOUN,politiques/ADJ,nationaux/ADJ
troisième/ADJ,attaque/NOUN,marocaine/ADJ
Transports/NOUN,ferroviaires/ADJ,interurbains/ADJ
homme/NOUN,politique/ADJ,français/ADJ
entreprise/NOUN,technologique/ADJ,américaine/ADJ
Autres/ADJ,résultats/NOUN,sportifs/ADJ
Parti/NOUN,ouvrier/ADJ,indépendant/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
homme/NOUN,politique/ADJ,français/ADJ
peintre/NOUN,orientaliste/ADJ,français/ADJ
éléments/NOUN,techniques/ADJ,fondamentaux/ADJ
footballeur/NOUN,professionnel/ADJ,français/ADJ
ancienne/ADJ,cité-État/NOUN,mésopotamienne/ADJ
écrivaine/NOUN,féministe/ADJ,française/ADJ
grands/ADJ,cavaliers/NOUN,archers/ADJ
autres/ADJ,États/NOUN,alliés/ADJ
esprit/NOUN,protecteur/ADJ,principal/ADJ
Éditeur/NOUN,public/ADJ,français/ADJ
ag/ADJ,an/NOUN,easpaig/ADJ
coureur/NOUN,cycliste/ADJ,français/ADJ
Écoles/NOUN,normales/ADJ,supérieures/ADJ
Église/NOUN,orthodoxe/ADJ,roumaine/ADJ
élections/NOUN,législatives/ADJ,danoises/ADJ
Nouvelle/ADJ,stratégie/NOUN,gouvernementale/ADJ
femme/NOUN,politique/ADJ,française/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
chant/NOUN,marin/ADJ,traditionnel/ADJ
Art/NOUN,contemporain/ADJ,japonais/ADJ
coureur/NOUN,cycliste/ADJ,italien/ADJ
homme/NOUN,politique/ADJ,belge/ADJ
Musique/NOUN,noire/ADJ,américaine/ADJ
élections/NOUN,législatives/ADJ,islandaises/ADJ
Système/NOUN,éducatif/ADJ,belge/ADJ
homme/NOUN,politique/ADJ,français/ADJ
lesdites/ADJ,licences/NOUN,problématiques/ADJ
commissaire/NOUN,européen/ADJ,estonien/ADJ
peintre/NOUN,baroque/ADJ,italien/ADJ
Sens/NOUN,approximatifs/ADJ,Exemples/ADJ
sculpteur/NOUN,maniériste/ADJ,italien/ADJ
infanterie/NOUN,nationale/ADJ,belge/ADJ
Ancien/ADJ,boxeur/NOUN,amateur/ADJ
Autre/ADJ,patrimoine/NOUN,civil/ADJ
peintre/NOUN,paysagiste/ADJ,américain/ADJ
grande/ADJ,puissance/NOUN,européenne/ADJ
haut-lieu/NOUN,symbolique/ADJ,français/ADJ
footballeur/NOUN,professionnel/ADJ,polonais/ADJ
bas/ADJ,latin/NOUN,*galire/ADJ
prince/NOUN,normand/ADJ,indépendant/ADJ
adjectif/NOUN,numéral/ADJ,ordinal/ADJ
Assemblée/NOUN,nationale/ADJ,constituante/ADJ
importantes/ADJ,concessions/NOUN,territoriales/ADJ
langues/NOUN,germaniques/ADJ,occidentales/ADJ
Carrière/NOUN,politique/ADJ,locale/ADJ
